,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DISTANCE,DISTANCE_GROUP
143606,UA,1148,13930,ORD,"Chicago, IL",646.0,3
143642,UA,866,11292,DEN,"Denver, CO",1436.0,6
143829,UA,472,11618,EWR,"Newark, NJ",416.0,2
144089,UA,2407,11292,DEN,"Denver, CO",1436.0,6
144229,UA,1991,11618,EWR,"Newark, NJ",416.0,2
148386,UA,2424,12264,IAD,"Washington, DC",224.0,1
149040,UA,404,13930,ORD,"Chicago, IL",646.0,3
162436,WN,6398,10693,BNA,"Nashville, TN",442.0,2
162441,WN,6238,11292,DEN,"Denver, CO",1436.0,6
165094,WN,1237,10397,ATL,"Atlanta, GA",356.0,2
165095,WN,1402,10693,BNA,"Nashville, TN",442.0,2
165096,WN,1450,10693,BNA,"Nashville, TN",442.0,2
165097,WN,1404,10821,BWI,"Baltimore, MD",255.0,2
165098,WN,1896,10821,BWI,"Baltimore, MD",255.0,2
165099,WN,2053,10821,BWI,"Baltimore, MD",255.0,2
165100,WN,2202,10821,BWI,"Baltimore, MD",255.0,2
165101,WN,1829,11259,DAL,"Dallas, TX",1052.0,5
165102,WN,1398,11292,DEN,"Denver, CO",1436.0,6
165103,WN,1420,11697,FLL,"Fort Lauderdale, FL",680.0,3
165104,WN,1873,12191,HOU,"Houston, TX",1050.0,5
165105,WN,1571,12889,LAS,"Las Vegas, NV",2026.0,9
165106,WN,4353,13204,MCO,"Orlando, FL",534.0,3
165107,WN,6945,13204,MCO,"Orlando, FL",534.0,3
165108,WN,210,13232,MDW,"Chicago, IL",632.0,3
165110,WN,1621,13495,MSY,"New Orleans, LA",779.0,4
165111,WN,2050,14107,PHX,"Phoenix, AZ",1891.0,8
165112,WN,2366,15016,STL,"St. Louis, MO",667.0,3
165113,WN,6999,15016,STL,"St. Louis, MO",667.0,3
167949,WN,2605,10397,ATL,"Atlanta, GA",356.0,2
167950,WN,4075,10397,ATL,"Atlanta, GA",356.0,2
167951,WN,2140,10423,AUS,"Austin, TX",1162.0,5
167952,WN,1764,10693,BNA,"Nashville, TN",442.0,2
167953,WN,3891,10693,BNA,"Nashville, TN",442.0,2
167954,WN,4243,10693,BNA,"Nashville, TN",442.0,2
167955,WN,1215,10821,BWI,"Baltimore, MD",255.0,2
167956,WN,2190,10821,BWI,"Baltimore, MD",255.0,2
167957,WN,2464,10821,BWI,"Baltimore, MD",255.0,2
167958,WN,4797,10821,BWI,"Baltimore, MD",255.0,2
167959,WN,3608,11259,DAL,"Dallas, TX",1052.0,5
167960,WN,1613,11292,DEN,"Denver, CO",1436.0,6
167961,WN,1736,11292,DEN,"Denver, CO",1436.0,6
